dom,sup,seed,client,logn,prev_gap,feat_shift,cc_port,score_w1,disagree,T_in,T_gap,T_diag,ba_local,ba_fedavg,ba_cluster,ba_shrink,ba_fedavg_ft
mobile_A,100,0,1mobile,4.605170185988092,0.0971428571428572,0.10271059475289634,-0.4893133342266083,0.09690334880895313,0.08333333333333333,-0.7974931453192323,-0.1989815902859381,-0.9964747356051704,0.9309276289484206,0.9278888444622151,0.9140743702518992,0.9400039984006396,0.9375649740103958
mobile_A,100,0,PlayDrone,4.605170185988092,0.06285714285714283,0.20148979205821438,-0.19544216990470886,0.10027222949867466,0.16666666666666666,-0.6493212669683258,-0.25791855203619907,-0.9072398190045249,0.7165021582299496,0.7604410033505389,0.7569938724380452,0.7659241148238704,0.7617057562860334
mobile_A,100,0,angeeks,4.605170185988092,0.0928571428571428,0.0713267440608657,-0.47712019085884094,0.18224344202176912,0.11666666666666667,-0.7825361512791992,-0.14961067853170185,-0.932146829810901,0.8368439015444802,0.8239486124128937,0.8478926402868903,0.8250285260198051,0.8229680304820897
mobile_A,100,0,anzhi,4.605170185988092,0.31714285714285717,0.16753675843769056,0.01147442776709795,0.04554075215050109,0.16666666666666666,-0.5334362139917695,-0.4140946502057613,-0.9475308641975309,0.7881948738276778,0.7638297163501417,0.7019175008230041,0.7668199176600594,0.7638297163501417
mobile_A,100,0,appchina,4.605170185988092,0.30714285714285716,0.21638000752495623,-0.15543271601200104,0.18405079302351615,0.2,-0.6400103519668737,-0.03390269151138714,-0.6739130434782609,0.7016762540978536,0.7174336611616255,0.7679560496409633,0.7167935618946938,0.7242802866295166
mobile_A,100,0,play,4.605170185988092,0.4028571428571428,0.30940794807609906,0.2155906707048416,0.1065115352481282,0.2,-0.618,-0.14200000000000002,-0.76,0.7319601423695068,0.7620548609939624,0.746498555686762,0.7609890682044906,0.7635075048056998
mobile_A,100,0,slideme,4.605170185988092,0.1628571428571428,0.1297435835850259,-0.4826829135417938,0.12109842573572939,0.18333333333333332,-0.7458133971291866,-0.14892344497607657,-0.8947368421052632,0.9017821023271659,0.9250129523566193,0.9063917218472545,0.926439485880157,0.9273709909794821
mobile_A,100,1,1mobile,4.605170185988092,0.1171428571428571,0.09337161033063202,-0.4378199577331543,0.11084282067468215,0.08333333333333333,-0.8352588789045785,-0.0902866923406076,-0.9255455712451861,0.8987845487845488,0.916248334998335,0.9311417748917749,0.9149496336996337,0.9353146853146853
mobile_A,100,1,PlayDrone,4.605170185988092,0.11285714285714293,0.20649510929725012,0.021907666698098183,0.10917848813330146,0.15,-0.5216907675194661,-0.33815350389321475,-0.8598442714126808,0.7451914098972923,0.7605935477639332,0.7451914098972923,0.7645529476158279,0.7847765542998809
mobile_A,100,1,angeeks,4.605170185988092,0.06285714285714289,0.0980153419040477,-0.40231338143348694,0.18988929705438626,0.18333333333333332,-0.7811447811447811,-0.12794612794612792,-0.9090909090909091,0.8226029299216384,0.8656306510711214,0.8479434334130269,0.8642456095198748,0.8635954188650109
mobile_A,100,1,anzhi,4.605170185988092,0.3371428571428571,0.19108864981211804,-0.1330435872077942,0.16420333174034182,0.23333333333333334,-0.5577601410934744,-0.14726631393298062,-0.705026455026455,0.732251955034213,0.7035766652702137,0.7046240050272308,0.7062735651445329,0.7011066890099149
mobile_A,100,1,appchina,4.605170185988092,0.2671428571428571,0.18687231505365143,-0.21461614966392517,0.13368265485131856,0.16666666666666666,-0.5448717948717948,-0.3205128205128206,-0.8653846153846154,0.7168729010150517,0.7791416606687749,0.7367368985422795,0.7798944459744057,0.7773407410068209
mobile_A,100,1,play,4.605170185988092,0.35285714285714287,0.3891318765776608,-0.16741345822811127,0.09172797381612016,0.13333333333333333,-0.46039094650205764,-0.23405349794238678,-0.6944444444444444,0.6860294577717712,0.6891679493436448,0.759379810038668,0.6882894720376419,0.6874109947316389
mobile_A,100,1,slideme,4.605170185988092,0.1928571428571429,0.12490965654847785,-0.3985249698162079,0.1290695875641988,0.13333333333333333,-0.7925485008818343,-0.14131393298059958,-0.9338624338624338,0.8677599293773877,0.878189486020038,0.8951608861750069,0.8788332620168307,0.8773433253535949
mobile_A,100,2,1mobile,4.605170185988092,0.06428571428571428,0.09241044214951533,-0.4780823588371277,0.09153180183974441,0.05,-0.8565072302558397,-0.14015572858731928,-0.996662958843159,0.9184951007429999,0.905186398883878,0.9214354660783233,0.9077374192920411,0.9193832938580837
mobile_A,100,2,PlayDrone,4.605170185988092,0.005714285714285672,0.15884595100529741,-0.10393331199884415,0.2350062264328069,0.3,-0.5529788838612367,-0.27394419306184015,-0.8269230769230769,0.7050692439646877,0.7762955524873436,0.7591799506296808,0.7820953098196728,0.775119032676457
mobile_A,100,2,angeeks,4.605170185988092,0.055714285714285716,0.09034067112126876,-0.4290619194507599,0.1617202018040736,0.08333333333333333,-0.7311827956989249,-0.189840563589173,-0.9210233592880979,0.8421957455751179,0.8533192453182645,0.8379576659038901,0.8545947555223462,0.8547261009667024
mobile_A,100,2,anzhi,4.605170185988092,0.29428571428571426,0.17295557829205532,-0.1220867857336998,0.11598020965075644,0.15,-0.5228758169934641,-0.28104575163398693,-0.803921568627451,0.78053698793831,0.7465504686508084,0.746613484446768,0.7456962545278016,0.737466858359162
mobile_A,100,2,appchina,4.605170185988092,0.2242857142857143,0.18446908039968357,-0.3546583950519562,0.16862287907606738,0.2,-0.6271604938271604,-0.16395061728395066,-0.7911111111111111,0.6607615514522159,0.7449520518706382,0.774255567487238,0.7408060336998092,0.7412541962334216
mobile_A,100,2,play,4.605170185988092,0.4357142857142857,0.3419967763235805,0.1626102179288864,0.07802632475910831,0.05,-0.4758230452674897,-0.2371399176954732,-0.7129629629629629,0.6097410465846872,0.7908136204518934,0.7565023949212981,0.7900843322371911,0.7924180545242389
mobile_A,100,2,slideme,4.605170185988092,0.08571428571428569,0.13426630784977034,-0.4054104685783386,0.12119439087388018,0.18333333333333332,-0.7479166666666667,-0.15083333333333326,-0.8987499999999999,0.8337779246936547,0.9079388385787426,0.8952314693808521,0.9094225181039652,0.9049714795282975
mobile_A,100,3,1mobile,4.605170185988092,0.06285714285714283,0.09465790490488712,-0.4913071095943451,0.10956250924048032,0.06666666666666667,-0.7878965922444183,-0.13102232667450064,-0.918918918918919,0.8893478235227045,0.9111873016871581,0.9011020984300111,0.9302273004289652,0.9286643888130915
mobile_A,100,3,PlayDrone,4.605170185988092,0.027142857142857135,0.17830830828877142,-0.0892988070845604,0.17075523022854627,0.2,-0.5773081201334817,-0.27030033370411566,-0.8476084538375973,0.7759244480345513,0.7806699182675108,0.7648616666693646,0.7851968524331159,0.7790276601909844
mobile_A,100,3,angeeks,4.605170185988092,0.0128571428571429,0.08409073171171444,-0.3948687016963959,0.1876207673882916,0.18333333333333332,-0.7245087133852429,-0.17204301075268813,-0.896551724137931,0.8388929648650851,0.8528572593136057,0.8206733512676285,0.8562729273661042,0.8506562321676041
mobile_A,100,3,anzhi,4.605170185988092,0.33285714285714285,0.18771217825971676,0.052944574505090714,0.09082100836477583,0.08333333333333333,-0.6192528735632183,-0.13074712643678166,-0.75,0.7204331991566034,0.7467122294708501,0.7646024601270383,0.7485326485693323,0.7452278030047657
