
##### mobsup alpha=0.05  (mean over 5 seeds x ctype{rand,top} x contaminated scenarios hom.05/.10/.20/het)
-- k=5  policy: tpr  wtpr  | fpr  wfpr  fdev  | succ  | recTPR recWTPR
   PEER-TRIM     0.456 0.264 | 0.013 0.077 0.049 | 0.24 | 0.21 0.08
   LAB-LOCAL     0.602 0.280 | 0.092 0.324 0.094 | 0.28 | 0.58 0.13
   LAB-POOL      0.727 0.538 | 0.076 0.131 0.051 | 0.58 | 0.89 0.85
   LAB-EB        0.723 0.532 | 0.076 0.145 0.053 | 0.57 | 0.88 0.83
   PEER+LAB      0.538 0.308 | 0.018 0.084 0.044 | 0.40 | 0.42 0.20
   LAB-EB-ALLOC  0.733 0.544 | 0.087 0.176 0.063 | 0.54 | 0.91 0.86
   LAB-EB-V      0.725 0.534 | 0.079 0.147 0.054 | 0.57 | 0.89 0.83
   LAB-EB-TAU    0.710 0.518 | 0.063 0.125 0.045 | 0.62 | 0.85 0.79
   LAB-EB-VTAU   0.711 0.520 | 0.065 0.127 0.046 | 0.62 | 0.85 0.79
   ORACLE-TRUE   0.770 0.594 | 0.050 0.076 0.013 | 1.00 | 1.00 1.00
-- k=10  policy: tpr  wtpr  | fpr  wfpr  fdev  | succ  | recTPR recWTPR
   LOCAL         0.371 0.235 | 0.004 0.016 0.047 | 0.21 | 0.00 0.00
   GLOBAL        0.399 0.295 | 0.001 0.004 0.049 | 0.13 | 0.07 0.17
   CLEAN-K       0.777 0.588 | 0.104 0.276 0.072 | 0.60 | 1.02 0.98
   PEER-TRIM     0.455 0.264 | 0.013 0.077 0.049 | 0.24 | 0.21 0.08
   LAB-LOCAL     0.662 0.351 | 0.081 0.247 0.071 | 0.41 | 0.73 0.32
   LAB-POOL      0.742 0.551 | 0.075 0.131 0.044 | 0.64 | 0.93 0.88
   LAB-EB        0.744 0.549 | 0.075 0.137 0.044 | 0.64 | 0.93 0.87
   PEER+LAB      0.593 0.351 | 0.024 0.090 0.040 | 0.51 | 0.56 0.32
   LAB-EB-ALLOC  0.751 0.558 | 0.083 0.154 0.052 | 0.61 | 0.95 0.90
   LAB-EB-V      0.748 0.552 | 0.079 0.141 0.047 | 0.62 | 0.94 0.88
   LAB-EB-TAU    0.731 0.538 | 0.059 0.116 0.036 | 0.72 | 0.90 0.84
   LAB-EB-VTAU   0.735 0.541 | 0.063 0.121 0.037 | 0.70 | 0.91 0.85
   ORACLE-TRUE   0.770 0.594 | 0.050 0.076 0.013 | 1.00 | 1.00 1.00
-- k=20  policy: tpr  wtpr  | fpr  wfpr  fdev  | succ  | recTPR recWTPR
   LOCAL         0.372 0.236 | 0.004 0.016 0.047 | 0.21 | 0.00 0.00
   GLOBAL        0.400 0.296 | 0.001 0.004 0.049 | 0.13 | 0.07 0.17
   CLEAN-K       0.762 0.581 | 0.054 0.148 0.037 | 0.82 | 0.98 0.96
   PEER-TRIM     0.455 0.266 | 0.013 0.078 0.049 | 0.24 | 0.21 0.08
   LAB-LOCAL     0.700 0.439 | 0.073 0.192 0.055 | 0.52 | 0.82 0.57
   LAB-POOL      0.749 0.556 | 0.073 0.129 0.040 | 0.69 | 0.95 0.89
   LAB-EB        0.755 0.562 | 0.071 0.127 0.037 | 0.72 | 0.96 0.91
   PEER+LAB      0.645 0.412 | 0.030 0.099 0.037 | 0.61 | 0.69 0.49
   LAB-EB-ALLOC  0.762 0.571 | 0.080 0.140 0.043 | 0.68 | 0.98 0.94
   LAB-EB-V      0.761 0.567 | 0.081 0.137 0.042 | 0.67 | 0.98 0.92
   LAB-EB-TAU    0.746 0.555 | 0.057 0.108 0.030 | 0.80 | 0.94 0.89
   LAB-EB-VTAU   0.753 0.561 | 0.066 0.118 0.033 | 0.76 | 0.96 0.91
   ORACLE-TRUE   0.770 0.594 | 0.050 0.075 0.013 | 0.99 | 1.00 1.00
-- k=50  policy: tpr  wtpr  | fpr  wfpr  fdev  | succ  | recTPR recWTPR
   LOCAL         0.372 0.235 | 0.003 0.016 0.047 | 0.21 | 0.00 0.00
   GLOBAL        0.399 0.296 | 0.001 0.004 0.049 | 0.12 | 0.07 0.17
   CLEAN-K       0.771 0.593 | 0.061 0.123 0.027 | 0.86 | 1.00 1.00
   PEER-TRIM     0.455 0.266 | 0.013 0.079 0.049 | 0.24 | 0.21 0.08
   LAB-LOCAL     0.750 0.540 | 0.069 0.149 0.040 | 0.71 | 0.95 0.85
