dom,sup,seed,client,logn,prev_gap,feat_shift,cc_port,score_w1,disagree,T_in,T_gap,T_diag,ba_local,fpr_local,fnr_local,ba_bk30,fpr_bk30,fnr_bk30,ba_bk100,fpr_bk100,fnr_bk100,ba_bk300,fpr_bk300,fnr_bk300,ba_shrink,fpr_shrink,fnr_shrink,ba_bk1000,fpr_bk1000,fnr_bk1000,ba_bk3000,fpr_bk3000,fnr_bk3000,ba_fedavg,fpr_fedavg,fnr_fedavg,ba_blend_val,fpr_blend_val,fnr_blend_val,ba_fedavg_ft,fpr_fedavg_ft,fnr_fedavg_ft,ba_cluster,fpr_cluster,fnr_cluster
mobile_A,100,0,1mobile,4.605170185988092,0.0971428571428572,0.10271059475289634,-0.4893133342266083,0.12331102725584063,0.18333333333333332,-0.7853505679592637,-0.20994907951429687,-0.9952996474735606,0.9309676129548181,0.056097560975609806,0.08196721311475408,0.9456817273090763,0.04634146341463419,0.06229508196721312,0.9489004398240704,0.03170731707317076,0.07049180327868854,0.9419432227109157,0.034146341463414664,0.08196721311475408,0.9407237105157937,0.03658536585365857,0.08196721311475408,0.9399040383846462,0.03658536585365857,0.08360655737704914,0.9345861655337865,0.039024390243902474,0.09180327868852456,0.933766493402639,0.039024390243902474,0.09344262295081962,0.9448020791683327,0.03170731707317076,0.07868852459016396,0.9342063174730107,0.04634146341463419,0.08524590163934431,0.9216113554578169,0.07317073170731703,0.08360655737704914
mobile_A,100,0,PlayDrone,4.605170185988092,0.06285714285714283,0.20148979205821438,-0.19544216990470886,0.0889036220808824,0.21666666666666667,-0.6357466063348416,-0.26696832579185514,-0.9027149321266967,0.7693938845120589,0.28395061728395066,0.1772616136919315,0.741265960336865,0.4111111111111111,0.10635696821515894,0.7245992936701984,0.4444444444444444,0.10635696821515894,0.7297850825560687,0.38395061728395063,0.15647921760391204,0.7585906607503999,0.2432098765432099,0.2396088019559902,0.7474312535844728,0.2753086419753087,0.22982885085574567,0.745561290712065,0.282716049382716,0.226161369193154,0.7461785746626823,0.28148148148148144,0.226161369193154,0.7269839113767393,0.45679012345679015,0.08924205378973105,0.754263636089227,0.25308641975308643,0.23838630806845962,0.7766428204896012,0.17654320987654326,0.27017114914425433
mobile_A,100,0,angeeks,4.605170185988092,0.0928571428571428,0.0713267440608657,-0.47712019085884094,0.15005027789932987,0.11666666666666667,-0.7545420837968112,-0.16981831664812763,-0.9243604004449388,0.8270253474061697,0.1839622641509434,0.16198704103671702,0.8418716125351481,0.13915094339622647,0.17710583153347736,0.8310724764660337,0.13915094339622647,0.1987041036717062,0.8241218061045682,0.09905660377358494,0.25269978401727866,0.8257722401075838,0.1367924528301887,0.21166306695464365,0.8210807286360488,0.09433962264150941,0.2634989200863931,0.8189209014222258,0.09433962264150941,0.2678185745140389,0.8246923265006724,0.1367924528301887,0.21382289416846656,0.8462905986389013,0.1367924528301887,0.17062634989200864,0.8269514853906027,0.13443396226415094,0.21166306695464365,0.8068559232242554,0.07311320754716977,0.3131749460043196
mobile_A,100,0,anzhi,4.605170185988092,0.31714285714285717,0.16753675843769056,0.01147442776709795,0.06335750396052996,0.1,-0.4799382716049383,-0.36265432098765427,-0.8425925925925926,0.7294885629246659,0.37869822485207105,0.16232464929859725,0.7397598804258277,0.44575936883629186,0.07472087031205266,0.7725456548487225,0.3214990138067061,0.1334096764958489,0.7663921813759951,0.2859960552268245,0.18121958202118527,0.7648658827940469,0.2741617357001972,0.19610649871170915,0.7624965343479294,0.26429980276134124,0.21070712854279994,0.7570570840186995,0.26429980276134124,0.2215860292012597,0.7578685124546077,0.2583826429980276,0.22588033209275693,0.7294885629246659,0.37869822485207105,0.16232464929859725,0.7558961258668365,0.26232741617357,0.22588033209275693,0.746404615373322,0.18540433925049304,0.3217864300028629
mobile_A,100,0,appchina,4.605170185988092,0.30714285714285716,0.21638000752495623,-0.15543271601200104,0.1416361153125763,0.21666666666666667,-0.6410455486542443,-0.0483954451345755,-0.6894409937888198,0.6558702632185653,0.23817034700315454,0.4500891265597148,0.7518757813803276,0.2365930599369085,0.25965537730243615,0.77948345957253,0.2271293375394322,0.213903743315508,0.7905057252802661,0.17507886435331232,0.24390968508615563,0.7945164204674318,0.17507886435331232,0.23588829471182415,0.7954184637242718,0.17981072555205047,0.22935234699940588,0.7976466277171417,0.17981072555205047,0.22489601901366607,0.7957263299163466,0.1845425867507886,0.22400475341651815,0.7957263299163466,0.1845425867507886,0.22400475341651815,0.7896036820234259,0.17034700315457418,0.250445632798574,0.7704433460603437,0.32334384858044163,0.13576945929887108
mobile_A,100,0,play,4.605170185988092,0.4028571428571428,0.30940794807609906,0.2155906707048416,0.06730103032180967,0.15,-0.5926666666666667,-0.1213333333333333,-0.714,0.7189816290020598,0.3649041255084253,0.19713261648745517,0.7572533265022627,0.25072632190586863,0.23476702508960579,0.7908031506230229,0.1406159209761766,0.2777777777777778,0.801805235349124,0.19029633933759438,0.2060931899641577,0.7964564862889167,0.21353864032539216,0.19354838709677424,0.7999199223590518,0.21557234166182448,0.1845878136200717,0.7998236000991339,0.21934921557234166,0.18100358422939067,0.8000896578008535,0.21702498547356186,0.18279569892473113,0.7908031506230229,0.1406159209761766,0.2777777777777778,0.7914638692599743,0.1876815804764672,0.22939068100358428,0.7501608842071064,0.10720511330621729,0.3924731182795699
mobile_A,100,0,slideme,4.605170185988092,0.1628571428571428,0.1297435835850259,-0.4826829135417938,0.1339761879295111,0.21666666666666667,-0.7456140350877193,-0.10606060606060608,-0.8516746411483254,0.8641563934961427,0.05278174037089867,0.21890547263681592,0.8338638476660918,0.0014265335235378318,0.3308457711442786,0.9122096365533248,0.108416547788873,0.06716417910447758,0.9142021703181666,0.08701854493580596,0.08457711442786064,0.9124278748908807,0.08559201141226824,0.08955223880597019,0.9113668462253639,0.08273894436519258,0.09452736318407962,0.9124456178451537,0.07560627674750353,0.09950248756218905,0.9119151035123951,0.07417974322396581,0.10199004975124382,0.9119151035123951,0.07417974322396581,0.10199004975124382,0.9133238940816601,0.08131241084165475,0.09203980099502485,0.8233458243731414,0.3209700427960057,0.03233830845771146
mobile_A,100,1,1mobile,4.605170185988092,0.1171428571428571,0.09337161033063202,-0.4378199577331543,0.15071118008345363,0.1,-0.7794180573384683,-0.14741121095421472,-0.926829268292683,0.8398455710955711,0.3090909090909091,0.011217948717948678,0.822465034965035,0.34545454545454546,0.009615384615384581,0.9409527972027971,0.036363636363636376,0.08173076923076927,0.9461746586746587,0.04675324675324677,0.0608974358974359,0.9472798035298036,0.04935064935064937,0.05608974358974361,0.9483849483849484,0.051948051948051965,0.05128205128205132,0.9515900765900767,0.051948051948051965,0.04487179487179482,0.9515900765900767,0.051948051948051965,0.04487179487179482,0.9515900765900767,0.051948051948051965,0.04487179487179482,0.9504849317349318,0.04935064935064937,0.049679487179487225,0.9455107392607393,0.07532467532467535,0.033653846153846145
mobile_A,100,1,PlayDrone,4.605170185988092,0.11285714285714293,0.20649510929725012,0.021907666698098183,0.15206444058567287,0.43333333333333335,-0.5131627734519837,-0.34556915090841667,-0.8587319243604004,0.7389685759361215,0.10457516339869277,0.41748768472906406,0.7859283943462443,0.12026143790849675,0.3078817733990148,0.8022030651340997,0.11111111111111116,0.2844827586206896,0.7780095946424548,0.13856209150326793,0.3054187192118226,0.774480826813484,0.23921568627450984,0.21182266009852213,0.7776940661322,0.27712418300653596,0.16748768472906406,0.7625752599890532,0.28888888888888886,0.1859605911330049,0.7554992111787243,0.2993464052287582,0.18965517241379315,0.7950239866061367,0.14640522875816997,0.2635467980295566,0.7889291348723397,0.27189542483660134,0.1502463054187192,0.7389685759361215,0.10457516339869277,0.41748768472906406
mobile_A,100,1,angeeks,4.605170185988092,0.06285714285714289,0.0980153419040477,-0.40231338143348694,0.121937312434117,0.16666666666666666,-0.7353161242050131,-0.146838757949869,-0.8821548821548821,0.8335986020900921,0.12742382271468145,0.20537897310513442,0.8283259622483051,0.27977839335180055,0.0635696821515892,0.8522746513691254,0.20498614958448758,0.09046454767726164,0.8475472234827192,0.20221606648199442,0.10268948655256727,0.8530873896877054,0.1911357340720221,0.10268948655256727,0.8530873896877054,0.1911357340720221,0.10268948655256727,0.8543098835752359,0.1911357340720221,0.10024449877750607,0.8543098835752359,0.1911357340720221,0.10024449877750607,0.8543098835752359,0.1911357340720221,0.10024449877750607,0.8503173065852122,0.19667590027700832,0.10268948655256727,0.7851424662544277,0.3490304709141274,0.0806845965770171
